"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7187","Verify map search input field is displayed","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
"","5190","Verify language selector works","tests","2026-06-17","passed","2026-06-17","","test_language_switch","",""
"","5079","Verify Open Graph title","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","5976","Verify navigation menu and links","tests","2026-06-17","passed","2026-06-17","","test_navigation","",""
"","12746","Verify invalid tracking number","tests","2026-06-17","passed","2026-06-17","","test_tracking","",""
"","12726","Verify shipment tracking history","tests","2026-06-17","passed","2026-06-17","","test_tracking","",""
"","5090","Verify Open Graph description","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","15223","Verify interactive map search by city name","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
"","5233","Verify meta description","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","25361","Verify geolocation and map filters","tests","2026-06-17","passed","2026-06-17","","test_map_features","",""
"","5942","Verify Open Graph URL","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","12176","Verify interactive map search by ZIP postal code","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
"","12521","Verify tracking search with letters and symbols","tests","2026-06-17","passed","2026-06-17","","test_tracking","",""
"","3704","Verify 404 page is displayed","tests","2026-06-17","passed","2026-06-17","","test_404","",""
"","5708","Verify page title","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","7941","Verify pickup points map page opens successfully","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
"","5373","Verify homepage opens successfully","tests","2026-06-17","passed","2026-06-17","","test_homepage","",""
