"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3693","Verify page title","tests","2026-06-28","passed","2026-06-28","","test_meta_tegs","",""
"","7044","Verify pickup points map page opens successfully","tests","2026-06-28","passed","2026-06-28","","test_pickup_points","",""
"","5386","Verify shipment tracking history","tests","2026-06-28","passed","2026-06-28","","test_tracking","",""
"","3738","Verify 404 page is displayed","tests","2026-06-28","passed","2026-06-28","","test_404","",""
"","37627","Verify geolocation and map filters","tests","2026-06-28","broken","2026-06-28","","test_map_features","",""
"","7314","Verify map search input field is displayed","tests","2026-06-28","passed","2026-06-28","","test_pickup_points","",""
"","4152","Verify keyboard navigation using TAB key","tests","2026-06-28","failed","2026-06-28","","test_accessibility","",""
"","4461","Verify validation message for tracking number with letters and symbols","tests","2026-06-28","passed","2026-06-28","","test_tracking","",""
"","3395","Verify Open Graph URL","tests","2026-06-28","passed","2026-06-28","","test_meta_tegs","",""
"","3458","Verify meta description","tests","2026-06-28","passed","2026-06-28","","test_meta_tegs","",""
"","5148","Verify error message for non-existent tracking number","tests","2026-06-28","passed","2026-06-28","","test_tracking","",""
"","3850","Verify language switching works","tests","2026-06-28","failed","2026-06-28","","test_language_switch","",""
"","7384","Verify interactive map search by city name","tests","2026-06-28","passed","2026-06-28","","test_pickup_points","",""
"","3496","Verify navigation menu and links","tests","2026-06-28","failed","2026-06-28","","test_navigation","",""
"","7177","Verify interactive map search by ZIP postal code","tests","2026-06-28","passed","2026-06-28","","test_pickup_points","",""
"","3365","Verify Open Graph description","tests","2026-06-28","passed","2026-06-28","","test_meta_tegs","",""
"","3356","Verify Open Graph title","tests","2026-06-28","passed","2026-06-28","","test_meta_tegs","",""
