"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3246","Verify meta description","tests","2026-06-28","passed","2026-06-28","","test_meta_tegs","",""
"","7205","Verify map search input field is displayed","tests","2026-06-28","passed","2026-06-28","","test_pickup_points","",""
"","4623","Verify validation message for tracking number with letters and symbols","tests","2026-06-28","passed","2026-06-28","","test_tracking","",""
"","3285","Verify page title","tests","2026-06-28","passed","2026-06-28","","test_meta_tegs","",""
"","3398","Verify Open Graph title","tests","2026-06-28","passed","2026-06-28","","test_meta_tegs","",""
"","7097","Verify interactive map search by city name","tests","2026-06-28","passed","2026-06-28","","test_pickup_points","",""
"","3745","Verify 404 page is displayed","tests","2026-06-28","passed","2026-06-28","","test_404","",""
"","3969","Verify keyboard navigation using TAB key","tests","2026-06-28","passed","2026-06-28","","test_accessibility","",""
"","3776","Verify language switching works","tests","2026-06-28","passed","2026-06-28","","test_language_switch","",""
"","39242","Verify geolocation and map filters","tests","2026-06-28","passed","2026-06-28","","test_map_features","",""
"","6852","Verify interactive map search by ZIP postal code","tests","2026-06-28","passed","2026-06-28","","test_pickup_points","",""
"","6726","Verify pickup points map page opens successfully","tests","2026-06-28","passed","2026-06-28","","test_pickup_points","",""
"","5479","Verify error message for non-existent tracking number","tests","2026-06-28","passed","2026-06-28","","test_tracking","",""
"","5854","Verify shipment tracking history","tests","2026-06-28","passed","2026-06-28","","test_tracking","",""
"","3306","Verify Open Graph URL","tests","2026-06-28","passed","2026-06-28","","test_meta_tegs","",""
"","3450","Verify navigation menu and links","tests","2026-06-28","passed","2026-06-28","","test_navigation","",""
"","3383","Verify Open Graph description","tests","2026-06-28","passed","2026-06-28","","test_meta_tegs","",""
