"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3678","Verify page title","tests","2026-06-30","passed","2026-06-30","","test_meta_tegs","",""
"","4321","Verify navigation menu and links","tests","2026-06-30","passed","2026-06-30","","test_navigation","",""
"","7394","Verify interactive map search by city name","tests","2026-06-30","passed","2026-06-30","","test_pickup_points","",""
"","7113","Verify shipment tracking history","tests","2026-06-30","passed","2026-06-30","","test_tracking","",""
"","4389","Verify Open Graph title","tests","2026-06-30","passed","2026-06-30","","test_meta_tegs","",""
"","3716","Verify Open Graph URL","tests","2026-06-30","passed","2026-06-30","","test_meta_tegs","",""
"","4292","Verify 404 page is displayed","tests","2026-06-30","passed","2026-06-30","","test_404","",""
"","41832","Verify geolocation and map filters","tests","2026-06-30","passed","2026-06-30","","test_map_features","",""
"","5883","Verify keyboard navigation using TAB key","tests","2026-06-30","passed","2026-06-30","","test_accessibility","",""
"","7426","Verify map search input field is displayed","tests","2026-06-30","passed","2026-06-30","","test_pickup_points","",""
"","6965","Verify pickup points map page opens successfully","tests","2026-06-30","passed","2026-06-30","","test_pickup_points","",""
"","6670","Verify error message for non-existent tracking number","tests","2026-06-30","passed","2026-06-30","","test_tracking","",""
"","6280","Verify validation message for tracking number with letters and symbols","tests","2026-06-30","passed","2026-06-30","","test_tracking","",""
"","3862","Verify meta description","tests","2026-06-30","passed","2026-06-30","","test_meta_tegs","",""
"","9417","Verify interactive map search by ZIP postal code","tests","2026-06-30","passed","2026-06-30","","test_pickup_points","",""
"","5488","Verify Open Graph description","tests","2026-06-30","passed","2026-06-30","","test_meta_tegs","",""
"","4381","Verify language switching works","tests","2026-06-30","passed","2026-06-30","","test_language_switch","",""
