"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4435","Verify page title","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","13380","Verify invalid tracking number","tests","2026-06-18","passed","2026-06-18","","test_tracking","",""
"","5265","Verify homepage opens successfully","tests","2026-06-18","passed","2026-06-18","","test_homepage","",""
"","12624","Verify tracking search with letters and symbols","tests","2026-06-18","passed","2026-06-18","","test_tracking","",""
"","4339","Verify Open Graph description","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","5025","Verify Open Graph URL","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","4425","Verify Open Graph title","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","8133","Verify interactive map search by ZIP postal code","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
"","7606","Verify map search input field is displayed","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
"","4120","Verify 404 page is displayed","tests","2026-06-18","passed","2026-06-18","","test_404","",""
"","7896","Verify interactive map search by city name","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
"","4408","Verify meta description","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","13056","Verify shipment tracking history","tests","2026-06-18","passed","2026-06-18","","test_tracking","",""
"","7469","Verify pickup points map page opens successfully","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
"","4389","Verify navigation menu and links","tests","2026-06-18","passed","2026-06-18","","test_navigation","",""
"","17705","Verify geolocation and map filters","tests","2026-06-18","broken","2026-06-18","","test_map_features","",""
"","4540","Verify language selector works","tests","2026-06-18","passed","2026-06-18","","test_language_switch","",""
