"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7620","Verify interactive map search by city name","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
"","4477","Verify Open Graph title","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","4529","Verify Open Graph URL","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","67803","Verify geolocation and map filters","tests","2026-06-18","broken","2026-06-18","","test_map_features","",""
"","4652","Verify navigation menu and links","tests","2026-06-18","passed","2026-06-18","","test_navigation","",""
"","4132","Verify Open Graph description","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","6978","Verify map search input field is displayed","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
"","4029","Verify 404 page is displayed","tests","2026-06-18","passed","2026-06-18","","test_404","",""
"","5071","Verify page title","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","8010","Verify interactive map search by ZIP postal code","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
"","12770","Verify language selector works","tests","2026-06-18","passed","2026-06-18","","test_language_switch","",""
"","12607","Verify tracking search with letters and symbols","tests","2026-06-18","passed","2026-06-18","","test_tracking","",""
"","4381","Verify meta description","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","13225","Verify shipment tracking history","tests","2026-06-18","passed","2026-06-18","","test_tracking","",""
"","13197","Verify invalid tracking number","tests","2026-06-18","passed","2026-06-18","","test_tracking","",""
"","6923","Verify pickup points map page opens successfully","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
"","4893","Verify homepage opens successfully","tests","2026-06-18","passed","2026-06-18","","test_homepage","",""
