"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6051","Verify navigation menu and links","tests","2026-06-17","passed","2026-06-17","","test_navigation","",""
"","13258","Verify shipment tracking history","tests","2026-06-17","passed","2026-06-17","","test_tracking","",""
"","25858","Verify geolocation and map filters","tests","2026-06-17","passed","2026-06-17","","test_map_features","",""
"","13733","Verify interactive map search by ZIP postal code","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
"","12972","Verify invalid tracking number","tests","2026-06-17","passed","2026-06-17","","test_tracking","",""
"","5905","Verify Open Graph title","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","5759","Verify Open Graph URL","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","6351","Verify homepage opens successfully","tests","2026-06-17","passed","2026-06-17","","test_homepage","",""
"","5787","Verify page title","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","4356","Verify 404 page is displayed","tests","2026-06-17","passed","2026-06-17","","test_404","",""
"","6216","Verify language selector works","tests","2026-06-17","passed","2026-06-17","","test_language_switch","",""
"","2956","Verify meta description","tests","2026-06-17","broken","2026-06-17","","test_meta_tegs","",""
"","12920","Verify interactive map search by city name","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
"","5782","Verify Open Graph description","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","8762","Verify pickup points map page opens successfully","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
"","12955","Verify tracking search with letters and symbols","tests","2026-06-17","passed","2026-06-17","","test_tracking","",""
"","11133","Verify map search input field is displayed","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
