"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11380","Verify shipment tracking history","tests","2026-06-18","passed","2026-06-18","","test_tracking","",""
"","5237","Verify pickup points map page opens successfully","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
"","5788","Verify interactive map search by city name","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
"","11566","Verify tracking search with letters and symbols","tests","2026-06-18","passed","2026-06-18","","test_tracking","",""
"","1322","Verify homepage opens successfully","tests","2026-06-18","passed","2026-06-18","","test_homepage","",""
"","1606","Verify language selector works","tests","2026-06-18","passed","2026-06-18","","test_language_switch","",""
"","1277","Verify page title","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","1371","Verify Open Graph URL","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","5394","Verify map search input field is displayed","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
"","1256","Verify meta description","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","7961","Verify interactive map search by ZIP postal code","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
"","2188","Verify 404 page is displayed","tests","2026-06-18","passed","2026-06-18","","test_404","",""
"","1463","Verify Open Graph title","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","11277","Verify invalid tracking number","tests","2026-06-18","passed","2026-06-18","","test_tracking","",""
"","35336","Verify geolocation and map filters","tests","2026-06-18","broken","2026-06-18","","test_map_features","",""
"","1561","Verify navigation menu and links","tests","2026-06-18","passed","2026-06-18","","test_navigation","",""
"","1242","Verify Open Graph description","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
