"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4476","Verify 404 page is displayed","tests","2026-06-17","passed","2026-06-17","","test_404","",""
"","7499","Verify pickup points map page opens successfully","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
"","14619","Verify tracking search with letters and symbols","tests","2026-06-17","passed","2026-06-17","","test_tracking","",""
"","6504","Verify language selector works","tests","2026-06-17","passed","2026-06-17","","test_language_switch","",""
"","6512","Verify navigation menu and links","tests","2026-06-17","passed","2026-06-17","","test_navigation","",""
"","30785","Verify geolocation and map filters","tests","2026-06-17","passed","2026-06-17","","test_map_features","",""
"","6545","Verify Open Graph URL","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","6340","Verify Open Graph description","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","7443","Verify homepage opens successfully","tests","2026-06-17","passed","2026-06-17","","test_homepage","",""
"","6189","Verify Open Graph title","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","6594","Verify page title","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","14449","Verify interactive map search by city name","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
"","8259","Verify map search input field is displayed","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
"","14391","Verify interactive map search by ZIP postal code","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
"","15371","Verify invalid tracking number","tests","2026-06-17","passed","2026-06-17","","test_tracking","",""
"","6370","Verify meta description","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","13852","Verify shipment tracking history","tests","2026-06-17","passed","2026-06-17","","test_tracking","",""
