"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","958","Verify page title","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","10822","Verify shipment tracking history","tests","2026-06-17","passed","2026-06-17","","test_tracking","",""
"","982","Verify Open Graph title","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","964","Verify Open Graph URL","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","5905","Verify interactive map search by city name","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
"","983","Verify meta description","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","1249","Verify language selector works","tests","2026-06-17","passed","2026-06-17","","test_language_switch","",""
"","5637","Verify interactive map search by ZIP postal code","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
"","971","Verify Open Graph description","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","5486","Verify pickup points map page opens successfully","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
"","10993","Verify invalid tracking number","tests","2026-06-17","passed","2026-06-17","","test_tracking","",""
"","5030","Verify map search input field is displayed","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
"","10552","Verify tracking search with letters and symbols","tests","2026-06-17","passed","2026-06-17","","test_tracking","",""
"","1166","Verify navigation menu and links","tests","2026-06-17","passed","2026-06-17","","test_navigation","",""
"","1400","Verify 404 page is displayed","tests","2026-06-17","passed","2026-06-17","","test_404","",""
"","16495","Verify geolocation and map filters","tests","2026-06-17","broken","2026-06-17","","test_map_features","",""
"","962","Verify homepage opens successfully","tests","2026-06-17","passed","2026-06-17","","test_homepage","",""
