"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8326","Verify interactive map search by city name","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
"","39153","Verify geolocation and map filters","tests","2026-06-18","passed","2026-06-18","","test_map_features","",""
"","4905","Verify homepage opens successfully","tests","2026-06-18","passed","2026-06-18","","test_homepage","",""
"","4440","Verify page title","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","4874","Verify Open Graph description","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","4381","Verify language selector works","tests","2026-06-18","passed","2026-06-18","","test_language_switch","",""
"","4505","Verify navigation menu and links","tests","2026-06-18","passed","2026-06-18","","test_navigation","",""
"","13541","Verify shipment tracking history","tests","2026-06-18","passed","2026-06-18","","test_tracking","",""
"","3800","Verify 404 page is displayed","tests","2026-06-18","passed","2026-06-18","","test_404","",""
"","12941","Verify invalid tracking number","tests","2026-06-18","passed","2026-06-18","","test_tracking","",""
"","13138","Verify tracking search with letters and symbols","tests","2026-06-18","passed","2026-06-18","","test_tracking","",""
"","4334","Verify Open Graph URL","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","4252","Verify meta description","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","7981","Verify interactive map search by ZIP postal code","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
"","7227","Verify pickup points map page opens successfully","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
"","4334","Verify Open Graph title","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","7379","Verify map search input field is displayed","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
