"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12998","Verify shipment tracking history","tests","2026-06-27","passed","2026-06-27","","test_tracking","",""
"","3434","Verify homepage opens successfully","tests","2026-06-27","passed","2026-06-27","","test_homepage","",""
"","39641","Verify geolocation and map filters","tests","2026-06-27","passed","2026-06-27","","test_map_features","",""
"","3373","Verify Open Graph URL","tests","2026-06-27","passed","2026-06-27","","test_meta_tegs","",""
"","3318","Verify Open Graph description","tests","2026-06-27","passed","2026-06-27","","test_meta_tegs","",""
"","12434","Verify tracking search with letters and symbols","tests","2026-06-27","passed","2026-06-27","","test_tracking","",""
"","6890","Verify language switching works","tests","2026-06-27","passed","2026-06-27","","test_language_switch","",""
"","3260","Verify Open Graph title","tests","2026-06-27","passed","2026-06-27","","test_meta_tegs","",""
"","3738","Verify 404 page is displayed","tests","2026-06-27","passed","2026-06-27","","test_404","",""
"","12562","Verify invalid tracking number","tests","2026-06-27","passed","2026-06-27","","test_tracking","",""
"","3552","Verify navigation menu and links","tests","2026-06-27","passed","2026-06-27","","test_navigation","",""
"","6828","Verify map search input field is displayed","tests","2026-06-27","passed","2026-06-27","","test_pickup_points","",""
"","3325","Verify meta description","tests","2026-06-27","passed","2026-06-27","","test_meta_tegs","",""
"","3397","Verify page title","tests","2026-06-27","passed","2026-06-27","","test_meta_tegs","",""
"","7658","Verify interactive map search by city name","tests","2026-06-27","passed","2026-06-27","","test_pickup_points","",""
"
    Проверка поддержки клавиатурной навигации на сайте.
    ","4034","Verify keyboard navigation using TAB key","tests","2026-06-27","passed","2026-06-27","","test_accessibility","",""
"","7684","Verify interactive map search by ZIP postal code","tests","2026-06-27","passed","2026-06-27","","test_pickup_points","",""
"","6753","Verify pickup points map page opens successfully","tests","2026-06-27","passed","2026-06-27","","test_pickup_points","",""
