"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6968","Verify map search input field is displayed","tests","2026-06-19","passed","2026-06-19","","test_pickup_points","",""
"","3711","Verify 404 page is displayed","tests","2026-06-19","passed","2026-06-19","","test_404","",""
"","12797","Verify shipment tracking history","tests","2026-06-19","passed","2026-06-19","","test_tracking","",""
"","6737","Verify pickup points map page opens successfully","tests","2026-06-19","passed","2026-06-19","","test_pickup_points","",""
"","4325","Verify Open Graph title","tests","2026-06-19","passed","2026-06-19","","test_meta_tegs","",""
"","4465","Verify navigation menu and links","tests","2026-06-19","passed","2026-06-19","","test_navigation","",""
"","7349","Verify interactive map search by city name","tests","2026-06-19","passed","2026-06-19","","test_pickup_points","",""
"","4518","Verify page title","tests","2026-06-19","passed","2026-06-19","","test_meta_tegs","",""
"","4285","Verify Open Graph URL","tests","2026-06-19","passed","2026-06-19","","test_meta_tegs","",""
"","39074","Verify geolocation and map filters","tests","2026-06-19","passed","2026-06-19","","test_map_features","",""
"","4268","Verify Open Graph description","tests","2026-06-19","passed","2026-06-19","","test_meta_tegs","",""
"","15734","Verify language switching works","tests","2026-06-19","passed","2026-06-19","","test_language_switch","",""
"","4281","Verify meta description","tests","2026-06-19","passed","2026-06-19","","test_meta_tegs","",""
"","7337","Verify interactive map search by ZIP postal code","tests","2026-06-19","passed","2026-06-19","","test_pickup_points","",""
"","4736","Verify homepage opens successfully","tests","2026-06-19","passed","2026-06-19","","test_homepage","",""
"","12419","Verify tracking search with letters and symbols","tests","2026-06-19","passed","2026-06-19","","test_tracking","",""
"","12389","Verify invalid tracking number","tests","2026-06-19","passed","2026-06-19","","test_tracking","",""
