"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8122","Verify pickup points map page opens successfully","tests","2026-06-27","passed","2026-06-27","","test_pickup_points","",""
"","4861","Verify Open Graph title","tests","2026-06-27","passed","2026-06-27","","test_meta_tegs","",""
"","4849","Verify Open Graph description","tests","2026-06-27","passed","2026-06-27","","test_meta_tegs","",""
"","5265","Verify 404 page is displayed","tests","2026-06-27","passed","2026-06-27","","test_404","",""
"","4886","Verify Open Graph URL","tests","2026-06-27","passed","2026-06-27","","test_meta_tegs","",""
"","4661","Verify page title","tests","2026-06-27","passed","2026-06-27","","test_meta_tegs","",""
"","40715","Verify geolocation and map filters","tests","2026-06-27","passed","2026-06-27","","test_map_features","",""
"","8784","Verify interactive map search by ZIP postal code","tests","2026-06-27","passed","2026-06-27","","test_pickup_points","",""
"","8226","Verify map search input field is displayed","tests","2026-06-27","passed","2026-06-27","","test_pickup_points","",""
"","5073","Verify homepage opens successfully","tests","2026-06-27","passed","2026-06-27","","test_homepage","",""
"","8827","Verify interactive map search by city name","tests","2026-06-27","passed","2026-06-27","","test_pickup_points","",""
"","14528","Verify shipment tracking history","tests","2026-06-27","passed","2026-06-27","","test_tracking","",""
"
    Проверка поддержки клавиатурной навигации на сайте.
    ","5720","Verify keyboard navigation using TAB key","tests","2026-06-27","passed","2026-06-27","","test_accessibility","",""
"","14118","Verify tracking search with letters and symbols","tests","2026-06-27","passed","2026-06-27","","test_tracking","",""
"","8171","Verify language switching works","tests","2026-06-27","passed","2026-06-27","","test_language_switch","",""
"","4961","Verify navigation menu and links","tests","2026-06-27","passed","2026-06-27","","test_navigation","",""
"","5005","Verify meta description","tests","2026-06-27","passed","2026-06-27","","test_meta_tegs","",""
"","14154","Verify invalid tracking number","tests","2026-06-27","passed","2026-06-27","","test_tracking","",""
