"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8127","Verify interactive map search by city name","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
"","5913","Verify Open Graph title","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","5669","Verify Open Graph URL","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","5819","Verify meta description","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","16455","Verify interactive map search by ZIP postal code","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
"","5782","Verify page title","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","13776","Verify invalid tracking number","tests","2026-06-17","passed","2026-06-17","","test_tracking","",""
"","5769","Verify Open Graph description","tests","2026-06-17","passed","2026-06-17","","test_meta_tegs","",""
"","13887","Verify tracking search with letters and symbols","tests","2026-06-17","passed","2026-06-17","","test_tracking","",""
"","11378","Verify map search input field is displayed","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
"","6036","Verify homepage opens successfully","tests","2026-06-17","passed","2026-06-17","","test_homepage","",""
"","9182","Verify pickup points map page opens successfully","tests","2026-06-17","passed","2026-06-17","","test_pickup_points","",""
"","4534","Verify 404 page is displayed","tests","2026-06-17","passed","2026-06-17","","test_404","",""
"","8053","Verify language selector works","tests","2026-06-17","passed","2026-06-17","","test_language_switch","",""
"","26457","Verify geolocation and map filters","tests","2026-06-17","passed","2026-06-17","","test_map_features","",""
"","13428","Verify shipment tracking history","tests","2026-06-17","passed","2026-06-17","","test_tracking","",""
"","6426","Verify navigation menu and links","tests","2026-06-17","passed","2026-06-17","","test_navigation","",""
