"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Verify homepage opens successfully","tests","2026-06-17","broken","2026-06-17","","test_homepage","",""
"","0","Verify meta description","tests","2026-06-17","broken","2026-06-17","","test_meta_tegs","",""
"","0","Verify interactive map search by city name","tests","2026-06-17","broken","2026-06-17","","test_pickup_points","",""
"","0","Verify pickup points map page opens successfully","tests","2026-06-17","broken","2026-06-17","","test_pickup_points","",""
"","0","Verify tracking search with letters and symbols","tests","2026-06-17","broken","2026-06-17","","test_tracking","",""
"","0","Verify 404 page is displayed","tests","2026-06-17","broken","2026-06-17","","test_404","",""
"","0","Verify navigation menu and links","tests","2026-06-17","broken","2026-06-17","","test_navigation","",""
"","0","Verify language selector works","tests","2026-06-17","broken","2026-06-17","","test_language_switch","",""
"","0","Verify geolocation and map filters","tests","2026-06-17","broken","2026-06-17","","test_map_features","",""
"","0","Verify interactive map search by ZIP postal code","tests","2026-06-17","broken","2026-06-17","","test_pickup_points","",""
"","0","Verify map search input field is displayed","tests","2026-06-17","broken","2026-06-17","","test_pickup_points","",""
"","0","Verify shipment tracking history","tests","2026-06-17","broken","2026-06-17","","test_tracking","",""
"","0","Verify page title","tests","2026-06-17","broken","2026-06-17","","test_meta_tegs","",""
"","0","Verify invalid tracking number","tests","2026-06-17","broken","2026-06-17","","test_tracking","",""
"","0","Verify Open Graph description","tests","2026-06-17","broken","2026-06-17","","test_meta_tegs","",""
"","0","Verify Open Graph title","tests","2026-06-17","broken","2026-06-17","","test_meta_tegs","",""
"","0","Verify Open Graph URL","tests","2026-06-17","broken","2026-06-17","","test_meta_tegs","",""
